SAMPLE_ID	GENE	REGIONS	MUTTYPES	DEPTH	N_MUTS	N_MUTATED	MUTDENSITY_MB
P19_0034_BTR_01	ALL_GENES	non_protein_affecting	SNV	246004141	95.0	97.0	0.3861723612205373
P19_0034_BTR_01	ARID1A	non_protein_affecting	SNV	19993670	12.0	12.0	0.6001899601223788
P19_0034_BTR_01	CDKN1A	non_protein_affecting	SNV	3019032	2.0	2.0	0.6624639950818673
P19_0034_BTR_01	CREBBP	non_protein_affecting	SNV	33538723	9.0	9.0	0.2683465318581152
P19_0034_BTR_01	EP300	non_protein_affecting	SNV	29788540	10.0	10.0	0.3356995676860967
P19_0034_BTR_01	FGFR3	non_protein_affecting	SNV	6147210	4.0	4.0	0.6507017004462187
P19_0034_BTR_01	FOXQ1	non_protein_affecting	SNV	2582467	4.0	4.0	1.5489065300737628
P19_0034_BTR_01	KDM6A	non_protein_affecting	SNV	10157187	5.0	5.0	0.4922622769473477
P19_0034_BTR_01	KMT2C	non_protein_affecting	SNV	12654118	4.0	5.0	0.3161026315702129
P19_0034_BTR_01	KMT2D	non_protein_affecting	SNV	53423229	25.0	25.0	0.4679612308720612
P19_0034_BTR_01	NOTCH2	non_protein_affecting	SNV	22861274	1.0	1.0	0.0437420941632561
P19_0034_BTR_01	PIK3CA	non_protein_affecting	SNV	982644	0.0	0.0	0.0
P19_0034_BTR_01	RB1	non_protein_affecting	SNV	17347282	3.0	3.0	0.1729377547445184
P19_0034_BTR_01	RBM10	non_protein_affecting	SNV	10574212	7.0	8.0	0.66198786254711
P19_0034_BTR_01	STAG2	non_protein_affecting	SNV	11885897	4.0	4.0	0.3365332881481305
P19_0034_BTR_01	TERTpromoter	non_protein_affecting	SNV	677761	0.0	0.0	0.0
P19_0034_BTR_01	TP53	non_protein_affecting	SNV	10370895	5.0	5.0	0.4821184671139762
P19_0053_BTR_01	ALL_GENES	non_protein_affecting	SNV	483125491	121.0	170.0	0.2504525268363453
P19_0053_BTR_01	ARID1A	non_protein_affecting	SNV	55275619	19.0	42.0	0.3437320168228238
P19_0053_BTR_01	CDKN1A	non_protein_affecting	SNV	3077078	1.0	1.0	0.3249836370738733
P19_0053_BTR_01	CREBBP	non_protein_affecting	SNV	50046784	13.0	14.0	0.2597569506164472
P19_0053_BTR_01	EP300	non_protein_affecting	SNV	54055172	15.0	15.0	0.2774942608636968
P19_0053_BTR_01	FGFR3	non_protein_affecting	SNV	3169900	0.0	0.0	0.0
P19_0053_BTR_01	FOXQ1	non_protein_affecting	SNV	2888226	0.0	0.0	0.0
P19_0053_BTR_01	KDM6A	non_protein_affecting	SNV	23689228	6.0	8.0	0.2532796763153278
P19_0053_BTR_01	KMT2C	non_protein_affecting	SNV	30534504	8.0	9.0	0.2619986884345657
P19_0053_BTR_01	KMT2D	non_protein_affecting	SNV	103578959	21.0	33.0	0.202743879671546
P19_0053_BTR_01	NOTCH2	non_protein_affecting	SNV	53385943	10.0	10.0	0.1873152264070712
P19_0053_BTR_01	PIK3CA	non_protein_affecting	SNV	2129560	0.0	0.0	0.0
P19_0053_BTR_01	RB1	non_protein_affecting	SNV	35957471	6.0	6.0	0.1668637930626433
P19_0053_BTR_01	RBM10	non_protein_affecting	SNV	19738376	8.0	15.0	0.4053018343555721
P19_0053_BTR_01	STAG2	non_protein_affecting	SNV	28235782	8.0	11.0	0.2833284376540377
P19_0053_BTR_01	TERTpromoter	non_protein_affecting	SNV	603342	0.0	0.0	0.0
P19_0053_BTR_01	TP53	non_protein_affecting	SNV	16759547	6.0	6.0	0.3580049031158181
P19_0002_BDO_01	ALL_GENES	non_protein_affecting	SNV	291542457	285.0	304.0	0.9775591621634716
P19_0002_BDO_01	ARID1A	non_protein_affecting	SNV	22991753	26.0	37.0	1.1308402625932872
P19_0002_BDO_01	CDKN1A	non_protein_affecting	SNV	3582364	1.0	1.0	0.2791452794858367
P19_0002_BDO_01	CREBBP	non_protein_affecting	SNV	30994174	26.0	27.0	0.838867330356989
P19_0002_BDO_01	EP300	non_protein_affecting	SNV	32552830	27.0	28.0	0.8294209750734421
P19_0002_BDO_01	FGFR3	non_protein_affecting	SNV	4954679	8.0	8.0	1.614635377993206
P19_0002_BDO_01	FOXQ1	non_protein_affecting	SNV	4218706	9.0	11.0	2.133355583441937
P19_0002_BDO_01	KDM6A	non_protein_affecting	SNV	25612146	16.0	16.0	0.6247036074212602
P19_0002_BDO_01	KMT2C	non_protein_affecting	SNV	14547532	9.0	9.0	0.6186616396513168
P19_0002_BDO_01	KMT2D	non_protein_affecting	SNV	46755122	54.0	55.0	1.1549536754497187
P19_0002_BDO_01	NOTCH2	non_protein_affecting	SNV	25724433	25.0	25.0	0.9718387184666032
P19_0002_BDO_01	PIK3CA	non_protein_affecting	SNV	1190693	1.0	1.0	0.8398470470557903
P19_0002_BDO_01	RB1	non_protein_affecting	SNV	21255938	13.0	13.0	0.6115938049875757
P19_0002_BDO_01	RBM10	non_protein_affecting	SNV	16596057	25.0	25.0	1.5063819074615132
P19_0002_BDO_01	STAG2	non_protein_affecting	SNV	30589390	34.0	37.0	1.1114965025454904
P19_0002_BDO_01	TERTpromoter	non_protein_affecting	SNV	365929	1.0	1.0	2.732770564781693
P19_0002_BDO_01	TP53	non_protein_affecting	SNV	9610711	10.0	10.0	1.0405057440599348
P19_0024_BTR_01	ALL_GENES	protein_affecting	SNV	322028862	153.0	153.0	0.4751126934703138
P19_0024_BTR_01	ARID1A	protein_affecting	SNV	29380725	24.0	24.0	0.8168620753912641
P19_0024_BTR_01	CDKN1A	protein_affecting	SNV	2429846	0.0	0.0	0.0
P19_0024_BTR_01	CREBBP	protein_affecting	SNV	39948401	19.0	19.0	0.4756135295627977
P19_0024_BTR_01	EP300	protein_affecting	SNV	38468650	18.0	18.0	0.4679134827970308
P19_0024_BTR_01	FGFR3	protein_affecting	SNV	6494487	3.0	3.0	0.4619302494561926
P19_0024_BTR_01	FOXQ1	protein_affecting	SNV	1689465	0.0	0.0	0.0
P19_0024_BTR_01	KDM6A	protein_affecting	SNV	8428232	8.0	8.0	0.9491907674112436
P19_0024_BTR_01	KMT2C	protein_affecting	SNV	21637499	6.0	6.0	0.2772963733008144
P19_0024_BTR_01	KMT2D	protein_affecting	SNV	97925178	51.0	51.0	0.5208057931740497
P19_0024_BTR_01	NOTCH2	protein_affecting	SNV	33159306	9.0	9.0	0.2714170194032408
P19_0024_BTR_01	PIK3CA	protein_affecting	SNV	1495676	3.0	3.0	2.0057820009146368
P19_0024_BTR_01	RB1	protein_affecting	SNV	14141281	2.0	2.0	0.1414299029911081
P19_0024_BTR_01	RBM10	protein_affecting	SNV	9494345	6.0	6.0	0.6319551269729508
P19_0024_BTR_01	STAG2	protein_affecting	SNV	9392011	3.0	3.0	0.3194204095374249
P19_0024_BTR_01	TERTpromoter	protein_affecting	SNV	40175	0.0	0.0	0.0
P19_0024_BTR_01	TP53	protein_affecting	SNV	7903585	1.0	1.0	0.1265248618190352
