gene	sample	impact	mutations	dnds	pvalue	lower	upper
KMT2C	P19_0045_BTR_01	missense	3	3.293750000000005	0.08531618	0.8165069580078137	8.585498046875005
CREBBP	P19_0045_BTR_01	missense	6	3.035931396484379	0.021976113	1.203085743486883	6.190838623046879
CREBBP	P19_0045_BTR_01	truncating	2	6.556250000000013	0.042526245	1.084793243408205	20.526586914062516
ARID1A	P19_0045_BTR_01	missense	4	2.434375000000004	0.122169256	0.7534118652343761	5.688159179687504
ARID1A	P19_0045_BTR_01	truncating	8	36.125000000000064	0.0	16.263844070434597	68.75500488281256
KDM6A	P19_0045_BTR_01	missense	2	5.512500000000009	0.059623778	0.9154406738281264	17.09880371093751
KDM6A	P19_0045_BTR_01	truncating	4	60.97500000000011	5.9604645e-07	18.798301162719763	143.4957519531251
KMT2D	P19_0045_BTR_01	missense	18	3.253905868530279	3.4213066e-05	1.9558683395944567	5.052001571655278
KMT2D	P19_0045_BTR_01	truncating	50	71.35000000000011	0.0	51.49081893920908	96.93593750000012
NOTCH2	P19_0045_BTR_01	missense	9	5.71230468750001	5.143881e-05	2.7309849882125907	10.38332519531251
NOTCH2	P19_0045_BTR_01	truncating	6	32.72812500000006	5.9604645e-08	12.85641712188723	67.62985839843756
CDKN1A	P19_0045_BTR_01	missense	3	14.050006103515653	0.0013577342	3.4848672332614727	36.709918212890656
CDKN1A	P19_0045_BTR_01	truncating	2	73.75625000000011	0.00027441978	12.212519760131856	230.4884277343751
STAG2	P19_0045_BTR_01	missense	4	6.399804687500011	0.004496813	1.9802937793731723	14.952050781250012
STAG2	P19_0045_BTR_01	truncating	1	9.44677734375002	0.10046065	0.5375932645797739	41.89062500000002
RB1	P19_0045_BTR_01	missense	1	2.395300292968753	0.4458642	0.1369520175457002	10.586828613281252
PIK3CA	P19_0045_BTR_01	missense	3	34.82500000000005	8.505583e-05	8.622908859252941	90.93095703125005
TP53	P19_0045_BTR_01	missense	5	18.09863281250004	1.0251999e-05	6.4669927370548415	39.13195800781254
RBM10	P19_0045_BTR_01	missense	7	12.371875000000024	2.3841858e-06	5.289299278259287	24.105883789062524
RBM10	P19_0045_BTR_01	truncating	10	92.92812500000016	0.0	45.73534164905556	167.21218261718766
EP300	P19_0045_BTR_01	missense	10	5.44843750000001	2.9861927e-05	2.714613571166997	9.63544921875001
EP300	P19_0045_BTR_01	truncating	3	11.575000000000026	0.0024701953	2.8581918334961003	30.516040039062524
ALL_GENES	P19_0045_BTR_01	missense	75	4.429687500000007	0.0	3.4483140182495164	5.608276367187507
ALL_GENES	P19_0045_BTR_01	truncating	86	37.54375000000007	0.0	29.036000728607235	48.02897949218757
FOXQ1	P19_0053_BDO_01	missense	4	2.2032196044921903	0.16474265	0.6803884142637262	5.16647644042969
KMT2C	P19_0053_BDO_01	missense	3	0.3470703124999994	0.02734083	0.0863674926757811	0.9043212890624994
KMT2C	P19_0053_BDO_01	truncating	3	3.0969238281250044	0.10108513	0.7636435127258312	8.178710937500004
CREBBP	P19_0053_BDO_01	missense	25	2.4638671875000027	0.000109255314	1.6071703910827653	3.5966796875000027
CREBBP	P19_0053_BDO_01	truncating	4	2.9421783447265666	0.06873858	0.9062615448236478	6.943032836914067
ARID1A	P19_0053_BDO_01	missense	12	0.6562499999999997	0.12293327	0.3495336914062498	1.1097412109374998
ARID1A	P19_0053_BDO_01	truncating	32	13.505468750000023	0.0	9.046791238784806	19.489355468750023
KDM6A	P19_0053_BDO_01	missense	12	3.256237792968755	0.0006734133	1.733771288990977	5.505383300781254
KDM6A	P19_0053_BDO_01	truncating	7	13.200000000000024	1.66893e-06	5.613978881835948	25.902026367187524
KMT2D	P19_0053_BDO_01	missense	53	1.4781250000000017	0.010471404	1.1003408813476574	1.9419921875000008
KMT2D	P19_0053_BDO_01	truncating	52	11.435937500000025	0.0	8.324210624694842	15.412377929687525
NOTCH2	P19_0053_BDO_01	missense	34	3.0687500000000045	5.9604645e-08	2.127825927734378	4.277246093750005
NOTCH2	P19_0053_BDO_01	truncating	14	12.537695312500023	0.0	6.9727193307876725	20.676123046875023
CDKN1A	P19_0053_BDO_01	missense	1	1.2765602111816414	0.8144319	0.0730806355178356	5.649729156494141
CDKN1A	P19_0053_BDO_01	truncating	2	19.29375000000004	0.004604399	3.194925994873053	60.105517578125045
STAG2	P19_0053_BDO_01	missense	6	1.1376953125000002	0.7592922	0.449955348968506	2.322998046875
RB1	P19_0053_BDO_01	missense	3	1.1548828125000006	0.80840313	0.2867172813415529	3.0109619140625004
PIK3CA	P19_0053_BDO_01	missense	1	1.7382812500000018	0.6127609	0.0994520568847657	7.698974609375002
TP53	P19_0053_BDO_01	missense	8	5.0843750000000085	0.00029790401	2.313662185668949	9.533837890625009
TP53	P19_0053_BDO_01	truncating	1	4.582812500000008	0.22402579	0.2611920928955082	20.30974121093751
RBM10	P19_0053_BDO_01	missense	25	6.187500000000011	0.0	4.033820800781257	9.04516601562501
RBM10	P19_0053_BDO_01	truncating	36	52.293750000000095	0.0	35.95587591171272	73.7585937500001
EP300	P19_0053_BDO_01	missense	39	2.9312011718750046	0.0	2.083225538730625	3.9993164062500046
EP300	P19_0053_BDO_01	truncating	8	4.940722656250008	0.00041794777	2.216546540260318	9.470141601562508
ALL_GENES	P19_0053_BDO_01	missense	226	1.9687744140625023	0.0	1.685670299530031	2.2916503906250023
ALL_GENES	P19_0053_BDO_01	truncating	159	10.190625000000022	0.0	8.32649688720705	12.416577148437522
FOXQ1	P19_0035_BDO_01	missense	5	2.036718750000002	0.15883118	0.7235079193115241	4.450659179687502
KMT2C	P19_0035_BDO_01	missense	9	0.87657470703125	0.6891496	0.4195919513702393	1.5919067382812502
KMT2C	P19_0035_BDO_01	truncating	1	0.8034706115722654	0.8211884	0.0464190612733364	3.5866737365722656
CREBBP	P19_0035_BDO_01	missense	41	2.489059448242191	7.1525574e-07	1.7833506307005909	3.374069213867191
CREBBP	P19_0035_BDO_01	truncating	11	5.121875000000009	2.4139881e-05	2.623970260620122	8.94938964843751
ARID1A	P19_0035_BDO_01	missense	29	1.3082031250000008	0.1770674	0.87969467163086	1.8666748046875008
ARID1A	P19_0035_BDO_01	truncating	30	11.457812500000024	0.0	7.612062988281265	16.631152343750024
KDM6A	P19_0035_BDO_01	missense	9	2.042971801757816	0.0568825	0.9778454622626316	3.7092315673828153
KDM6A	P19_0035_BDO_01	truncating	8	11.882617187500026	6.556511e-07	5.369489545822155	22.500292968750024
KMT2D	P19_0035_BDO_01	missense	72	1.3367187500000008	0.027230144	1.0348384094238288	1.700488281250001
KMT2D	P19_0035_BDO_01	truncating	115	17.250000000000036	0.0	13.664471435546904	21.624389648437536
FGFR3	P19_0035_BDO_01	missense	2	0.8031311035156249	0.748222	0.1339267349243164	2.495025634765625
NOTCH2	P19_0035_BDO_01	missense	40	2.559765625000004	4.7683716e-07	1.8258365058898955	3.4844482421875043
NOTCH2	P19_0035_BDO_01	truncating	11	6.508593750000012	2.682209e-06	3.324346275329596	11.410327148437512
TERTpromoter	P19_0035_BDO_01	missense	3	83.50000000000014	5.9604645e-06	20.42833457946781	224.05603027343764
CDKN1A	P19_0035_BDO_01	missense	1	0.5867431640624997	0.5592715	0.0336554813385009	2.599072265625
CDKN1A	P19_0035_BDO_01	truncating	3	13.561718750000026	0.0015292764	3.351610336303717	35.600292968750026
STAG2	P19_0035_BDO_01	missense	10	1.4820434570312515	0.24737257	0.7381152451038366	2.623400878906251
STAG2	P19_0035_BDO_01	truncating	15	13.987890625000029	0.0	7.931430325508134	22.755590820312527
RB1	P19_0035_BDO_01	missense	3	0.8384765624999999	0.7543454	0.2082194900512695	2.1867431640625004
RB1	P19_0035_BDO_01	truncating	1	1.633593750000002	0.65093005	0.0932408905029298	7.251269531250003
PIK3CA	P19_0035_BDO_01	missense	1	1.312402343750001	0.79535353	0.0748657417297364	5.805200195312501
TP53	P19_0035_BDO_01	missense	14	5.113281250000009	1.7285347e-06	2.861283969879155	8.362182617187509
TP53	P19_0035_BDO_01	truncating	2	5.0062500000000085	0.07231295	0.8296972656250012	15.627587890625009
RBM10	P19_0035_BDO_01	missense	10	1.763964843750002	0.10408783	0.8784181404113778	3.123217773437502
RBM10	P19_0035_BDO_01	truncating	10	10.50390625000002	1.1920929e-07	5.190341415405284	18.80895996093752
EP300	P19_0035_BDO_01	missense	55	3.0250976562500043	0.0	2.267642703056338	3.954663085937504
EP300	P19_0035_BDO_01	truncating	11	4.620312500000008	6.532669e-05	2.357364921569829	8.115185546875008
ALL_GENES	P19_0035_BDO_01	missense	304	1.862500000000002	0.0	1.620083007812502	2.1377685546875025
ALL_GENES	P19_0035_BDO_01	truncating	218	10.919140625000024	0.0	9.100728573799152	13.057202148437524
FOXQ1	P19_0052_BTR_01	missense	1	1.7140625000000016	0.6210413	0.0981985473632813	7.619824218750001
KMT2C	P19_0052_BTR_01	missense	1	0.91405029296875	0.9274812	0.0523773574829101	4.04088134765625
CREBBP	P19_0052_BTR_01	missense	16	8.571875000000016	0.0	4.99327880859376	13.613378906250016
CREBBP	P19_0052_BTR_01	truncating	2	7.651171875000015	0.031137764	1.2664280414581324	23.904833984375017
ARID1A	P19_0052_BTR_01	missense	4	1.5870117187500017	0.39317912	0.491265783309937	3.705541992187502
KDM6A	P19_0052_BTR_01	missense	4	4.062500000000006	0.02301693	1.2585974121093768	9.498901367187509
KDM6A	P19_0052_BTR_01	truncating	3	18.55009765625004	0.00059115887	4.585615531802187	48.67521972656254
KMT2D	P19_0052_BTR_01	missense	11	1.6964843750000016	0.110346794	0.876299591064454	2.9318359375000016
KMT2D	P19_0052_BTR_01	truncating	35	42.66914062500008	0.0	29.157201521396686	60.59394531250008
FGFR3	P19_0052_BTR_01	missense	1	3.459573364257817	0.3034439	0.1978063623607161	15.302224731445316
NOTCH2	P19_0052_BTR_01	missense	9	5.4437500000000085	7.5519085e-05	2.5995214843750043	9.889550781250009
NOTCH2	P19_0052_BTR_01	truncating	1	5.92500000000001	0.16899836	0.3378088378906254	26.36567382812501
CDKN1A	P19_0052_BTR_01	truncating	1	40.51875305175789	0.01960212	2.305677319858227	180.11897277832037
STAG2	P19_0052_BTR_01	missense	7	4.650000000000008	0.0012333989	1.9867578125000027	9.069555664062507
STAG2	P19_0052_BTR_01	truncating	11	45.22421875000008	0.0	23.203536467552222	78.86984863281258
PIK3CA	P19_0052_BTR_01	missense	1	12.421875000000025	0.07373083	0.7084709930419935	55.03234863281252
TP53	P19_0052_BTR_01	missense	3	9.999951171875022	0.0037603974	2.479439834356313	26.06257324218752
RBM10	P19_0052_BTR_01	missense	1	0.7023559570312499	0.7073996	0.0404257988929748	3.1065307617187496
RBM10	P19_0052_BTR_01	truncating	1	4.274218750000007	0.2421552	0.2431994628906253	18.990405273437503
EP300	P19_0052_BTR_01	missense	23	10.775000000000023	0.0	6.885302734375015	15.966650390625023
EP300	P19_0052_BTR_01	truncating	6	21.834423828125043	4.7683716e-07	8.574461242854612	45.10224609375004
ALL_GENES	P19_0052_BTR_01	missense	82	3.830859375000006	0.0	3.010904445648198	4.810473632812506
ALL_GENES	P19_0052_BTR_01	truncating	60	21.21562500000004	0.0	15.778965587615998	28.06132812500004
FOXQ1	P19_0023_BTR_01	missense	1	0.3078121185302728	0.14561802	0.0175616358220577	1.364941024780273
FOXQ1	P19_0023_BTR_01	truncating	1	3.356054687500005	0.31474507	0.1905366420745852	15.102880859375006
KMT2C	P19_0023_BTR_01	missense	22	1.599218750000002	0.044504583	1.0125735473632826	2.387792968750002
KMT2C	P19_0023_BTR_01	truncating	7	4.337500000000007	0.0019618273	1.8398901367187523	8.555029296875006
CREBBP	P19_0023_BTR_01	missense	52	2.206250000000003	9.536743e-07	1.6411016845703146	2.8996093750000025
CREBBP	P19_0023_BTR_01	truncating	8	2.332812500000003	0.038422406	1.0523167419433603	4.432421875000003
ARID1A	P19_0023_BTR_01	missense	41	1.6281250000000018	0.004951477	1.1674966430664075	2.2073486328125016
ARID1A	P19_0023_BTR_01	truncating	86	26.075000000000045	0.0	20.04078704833988	33.582324218750045
KDM6A	P19_0023_BTR_01	missense	27	3.614062500000005	5.9604645e-08	2.39716346740723	5.207690429687505
KDM6A	P19_0023_BTR_01	truncating	42	35.731347656250065	0.0	25.416001825034662	48.938745117187565
KMT2D	P19_0023_BTR_01	missense	118	1.5718746185302752	2.425909e-05	1.2813110298290864	1.9106197357177752
KMT2D	P19_0023_BTR_01	truncating	115	12.293750000000022	0.0	9.7303868865967	15.413256835937524
FGFR3	P19_0023_BTR_01	missense	4	1.2464843750000003	0.6714386	0.3861375808715822	2.9115234375000005
NOTCH2	P19_0023_BTR_01	missense	39	1.634376525878908	0.005833626	1.1608644233644023	2.230690002441408
NOTCH2	P19_0023_BTR_01	truncating	3	1.0986328125000002	0.87293637	0.2720585823059083	2.8887939453125
TERTpromoter	P19_0023_BTR_01	missense	1	68.9500000000001	0.010878861	3.9137527465820376	309.0183593750001
CDKN1A	P19_0023_BTR_01	missense	3	1.1375000000000002	0.8273891	0.282515869140625	2.9655029296875
CDKN1A	P19_0023_BTR_01	truncating	4	12.137475585937525	0.00039368868	3.742840538322933	28.593774414062523
STAG2	P19_0023_BTR_01	missense	11	1.12227783203125	0.71050644	0.5797165262699127	1.9364868164062496
STAG2	P19_0023_BTR_01	truncating	22	13.253125000000026	0.0	8.3346426010132	19.960888671875026
RB1	P19_0023_BTR_01	missense	6	1.1390625	0.75607973	0.4515913391113282	2.3213134765625
RB1	P19_0023_BTR_01	truncating	1	1.0281249046325684	0.9785715	0.0587188675068318	4.553515529632568
PIK3CA	P19_0023_BTR_01	missense	2	2.0968750000000025	0.35201174	0.3483020019531253	6.507885742187503
TP53	P19_0023_BTR_01	missense	11	3.550000000000005	0.00054723024	1.8335839843750024	6.118359375000004
TP53	P19_0023_BTR_01	truncating	2	4.176538085937507	0.10260421	0.6920468229055414	13.010156250000009
