"X","CpG","Beta","SE","P","FDR","Trait","threshold"
"6746",6746,"cg09731694",-0.00052,1e-04,3.2e-07,NA,"pm2_5","P1E5"
"6747",6747,"cg01948201",-0.00064,0.00013,6.9e-07,NA,"pm2_5","P1E5"
"6748",6748,"cg07316313",-0.00067,0.00014,1.2e-06,NA,"pm2_5","P1E5"
"6749",6749,"cg24988255",-0.00077,0.00016,1.6e-06,NA,"pm2_5","P1E5"
"6750",6750,"cg18580296",-3e-04,6.2e-05,2e-06,NA,"pm2_5","P1E5"
"6751",6751,"cg15201877",-0.00065,0.00014,3.4e-06,NA,"pm2_5","P1E5"
"6752",6752,"cg15232798",-0.00047,1e-04,4.3e-06,NA,"pm2_5","P1E5"
"6753",6753,"cg22453435",0.00067,0.00015,5.5e-06,NA,"pm2_5","P1E5"
"6754",6754,"cg21632975",-7e-04,0.00016,6.1e-06,NA,"pm2_5","P1E5"
"6755",6755,"cg02341815",-0.00038,8.6e-05,9.2e-06,NA,"pm2_5","P1E5"
"2890",2890,"cg05575921",-17.443,NA,2e-16,NA,"smoking_sm13","GW"
"2891",2891,"cg13039251",9.241,NA,2e-16,NA,"smoking_sm13","GW"
"2892",2892,"cg03636183",-13.909,NA,2e-16,NA,"smoking_sm13","GW"
"2893",2893,"cg12803068",6.479,NA,2e-16,NA,"smoking_sm13","GW"
"2894",2894,"cg22132788",9.8,NA,2e-16,NA,"smoking_sm13","GW"
"2895",2895,"cg06126421",-9.415,NA,2e-16,NA,"smoking_sm13","GW"
"2896",2896,"cg21566642",-20.218,NA,2e-16,NA,"smoking_sm13","GW"
"2897",2897,"cg15693572",4.189,NA,2e-16,NA,"smoking_sm13","GW"
"2898",2898,"cg05951221",-13.816,NA,2e-16,NA,"smoking_sm13","GW"
"2899",2899,"cg12876356",-4.741,NA,2e-16,NA,"smoking_sm13","GW"
"2900",2900,"cg09935388",-7.205,NA,2e-16,NA,"smoking_sm13","GW"
